pet	prey	temp
dog	sparrow	warm
cat	skink	cold
cat	skink	warm
dog	sparrow	warm
dog	sparrow	cold
dog	mouse	cold
cat	skink	cold
dog	mouse	warm
dog	skink	cold
cat	sparrow	warm
cat	skink	cold
cat	skink	warm
cat	skink	warm
dog	mouse	cold
dog	skink	warm
dog	sparrow	warm
cat	skink	cold
cat	mouse	warm
dog	skink	cold
dog	sparrow	warm
cat	skink	cold
cat	mouse	cold
cat	mouse	warm
dog	skink	cold
dog	mouse	cold
dog	mouse	cold
dog	skink	cold
cat	mouse	warm
cat	skink	cold
cat	skink	warm
dog	mouse	cold
dog	skink	cold
dog	sparrow	cold
dog	mouse	cold
dog	skink	cold
dog	sparrow	cold
cat	sparrow	cold
cat	skink	warm
cat	skink	warm
dog	mouse	cold
dog	skink	warm
dog	sparrow	cold
dog	mouse	warm
cat	mouse	cold
cat	skink	warm
dog	mouse	warm
cat	mouse	warm
cat	skink	warm
dog	sparrow	warm
cat	sparrow	warm
cat	skink	warm
dog	mouse	cold
cat	skink	warm
cat	mouse	cold
dog	sparrow	cold
dog	sparrow	warm
dog	mouse	cold
dog	sparrow	cold
cat	mouse	warm
cat	mouse	warm
cat	sparrow	warm
dog	sparrow	warm
dog	skink	cold
dog	mouse	cold
cat	skink	cold
dog	sparrow	warm
dog	skink	warm
dog	sparrow	warm
cat	sparrow	cold
dog	mouse	warm
dog	sparrow	cold
dog	mouse	cold
dog	sparrow	cold
dog	skink	cold
cat	mouse	cold
dog	mouse	cold
cat	sparrow	warm
cat	mouse	cold
cat	mouse	warm
cat	skink	warm
dog	mouse	cold
dog	sparrow	cold
dog	sparrow	cold
dog	mouse	cold
dog	mouse	cold
dog	sparrow	warm
dog	skink	warm
cat	skink	cold
dog	mouse	warm
dog	mouse	warm
dog	skink	warm
dog	sparrow	warm
dog	skink	warm
dog	sparrow	warm
dog	skink	cold
dog	sparrow	cold
cat	sparrow	warm
dog	skink	cold
dog	sparrow	warm
dog	sparrow	warm
cat	mouse	warm
dog	skink	cold
cat	mouse	warm
dog	sparrow	cold
dog	mouse	warm
cat	mouse	warm
dog	skink	cold
dog	sparrow	cold
dog	mouse	cold
dog	mouse	cold
dog	mouse	cold
dog	sparrow	cold
dog	mouse	warm
cat	skink	warm
dog	mouse	cold
dog	skink	cold
dog	sparrow	warm
cat	mouse	warm
dog	mouse	warm
dog	sparrow	cold
dog	skink	cold
cat	skink	cold
cat	sparrow	warm
cat	mouse	cold
dog	skink	cold
cat	mouse	warm
cat	skink	cold
dog	sparrow	cold
cat	sparrow	warm
cat	skink	cold
cat	mouse	cold
dog	sparrow	warm
dog	mouse	cold
dog	skink	warm
dog	sparrow	cold
cat	skink	cold
cat	sparrow	warm
cat	skink	cold
cat	sparrow	cold
dog	mouse	warm
dog	sparrow	warm
cat	skink	cold
dog	sparrow	cold
cat	sparrow	warm
dog	sparrow	cold
cat	sparrow	warm
cat	sparrow	warm
dog	sparrow	warm
dog	sparrow	cold
cat	skink	cold
cat	mouse	cold
cat	skink	cold
dog	sparrow	warm
cat	skink	cold
dog	skink	cold
cat	mouse	warm
cat	sparrow	warm
cat	mouse	warm
cat	skink	cold
cat	sparrow	warm
dog	mouse	cold
dog	mouse	warm
cat	mouse	cold
cat	mouse	cold
dog	sparrow	cold
dog	mouse	cold
dog	skink	cold
dog	sparrow	warm
dog	sparrow	cold
cat	sparrow	cold
cat	skink	cold
cat	sparrow	cold
dog	sparrow	warm
dog	sparrow	cold
cat	mouse	cold
dog	sparrow	cold
cat	skink	warm
dog	sparrow	cold
dog	sparrow	cold
dog	sparrow	cold
dog	skink	cold
dog	mouse	cold
dog	mouse	cold
dog	sparrow	cold
dog	sparrow	warm
dog	sparrow	cold
dog	mouse	cold
dog	sparrow	warm
dog	sparrow	cold
dog	sparrow	warm
dog	mouse	cold
cat	sparrow	warm
dog	mouse	warm
cat	skink	warm
dog	mouse	cold
cat	mouse	warm
cat	mouse	cold
dog	mouse	cold
cat	mouse	warm
cat	sparrow	cold
dog	mouse	cold
dog	sparrow	cold
cat	sparrow	cold
cat	skink	warm
dog	sparrow	cold
dog	skink	cold
cat	sparrow	warm
cat	sparrow	warm
dog	sparrow	warm
dog	mouse	cold
dog	sparrow	cold
dog	sparrow	warm
cat	skink	warm
cat	sparrow	cold
dog	mouse	warm
cat	skink	cold
dog	mouse	warm
cat	sparrow	cold
cat	sparrow	cold
cat	sparrow	warm
cat	skink	warm
dog	sparrow	warm
dog	skink	cold
dog	mouse	cold
cat	skink	warm
dog	sparrow	warm
dog	mouse	cold
cat	sparrow	cold
dog	mouse	cold
cat	sparrow	warm
cat	mouse	warm
cat	skink	warm
cat	mouse	warm
cat	skink	warm
cat	sparrow	warm
dog	skink	cold
cat	sparrow	warm
dog	skink	warm
cat	sparrow	cold
cat	sparrow	cold
dog	mouse	cold
dog	mouse	warm
cat	skink	warm
dog	skink	cold
dog	mouse	warm
dog	mouse	cold
cat	skink	cold
cat	skink	warm
dog	skink	warm
cat	sparrow	warm
dog	sparrow	warm
dog	skink	cold
cat	skink	warm
cat	skink	cold
cat	skink	cold
dog	skink	cold
dog	sparrow	warm
cat	skink	warm
cat	mouse	warm
cat	sparrow	warm
cat	sparrow	cold
dog	sparrow	cold
cat	sparrow	warm
cat	mouse	cold
dog	mouse	cold
cat	mouse	cold
dog	skink	warm
cat	mouse	warm
dog	sparrow	cold
cat	skink	cold
cat	skink	warm
cat	sparrow	cold
dog	sparrow	cold
cat	skink	warm
dog	mouse	cold
dog	mouse	warm
cat	skink	warm
dog	mouse	cold
dog	mouse	cold
dog	skink	cold
cat	skink	cold
cat	skink	cold
dog	mouse	warm
cat	mouse	warm
cat	skink	cold
dog	skink	cold
dog	mouse	cold
cat	mouse	warm
dog	skink	warm
cat	skink	warm
cat	skink	cold
cat	sparrow	cold
cat	skink	warm
dog	sparrow	cold
dog	mouse	warm
dog	mouse	cold
dog	skink	warm
dog	sparrow	warm
dog	mouse	warm
dog	sparrow	warm
dog	mouse	cold
cat	sparrow	cold
cat	skink	warm
cat	skink	cold
dog	mouse	warm
cat	skink	cold
dog	sparrow	warm
dog	skink	cold
dog	mouse	cold
cat	sparrow	cold
dog	sparrow	warm
dog	sparrow	cold
cat	skink	cold
cat	mouse	warm
cat	skink	cold
cat	skink	warm
cat	sparrow	cold
dog	sparrow	cold
cat	mouse	warm
dog	sparrow	warm
cat	sparrow	cold
dog	sparrow	warm
dog	sparrow	cold
dog	sparrow	warm
cat	skink	warm
dog	skink	cold
cat	mouse	warm
cat	mouse	cold
dog	skink	warm
dog	sparrow	warm
dog	mouse	cold
dog	mouse	cold
dog	skink	warm
dog	mouse	cold
dog	mouse	cold
cat	sparrow	warm
dog	skink	warm
dog	mouse	cold
dog	mouse	warm
dog	mouse	cold
cat	skink	warm
dog	mouse	warm
dog	skink	warm
cat	mouse	cold
dog	skink	warm
cat	skink	cold
cat	skink	cold
dog	mouse	warm
dog	mouse	cold
dog	sparrow	warm
dog	skink	warm
dog	sparrow	warm
cat	sparrow	warm
cat	mouse	warm
dog	mouse	warm
cat	skink	warm
cat	sparrow	warm
dog	skink	cold
cat	mouse	cold
dog	mouse	cold
dog	skink	cold
dog	sparrow	warm
dog	skink	cold
dog	sparrow	warm
dog	skink	cold
dog	sparrow	cold
dog	sparrow	cold
cat	mouse	cold
dog	mouse	cold
dog	skink	warm
dog	skink	cold
dog	sparrow	warm
dog	sparrow	cold
dog	mouse	cold
cat	sparrow	cold
cat	sparrow	cold
dog	skink	cold
dog	skink	warm
dog	sparrow	warm
cat	skink	warm
cat	skink	warm
cat	sparrow	cold
dog	mouse	warm
dog	skink	warm
dog	mouse	warm
dog	skink	warm
dog	mouse	warm
cat	skink	warm
dog	mouse	cold
dog	mouse	cold
cat	skink	warm
dog	mouse	cold
dog	sparrow	cold
dog	mouse	warm
cat	sparrow	cold
dog	skink	cold
dog	skink	cold
cat	sparrow	cold
cat	sparrow	warm
cat	sparrow	warm
dog	mouse	warm
cat	sparrow	warm
dog	mouse	cold
dog	mouse	cold
cat	skink	warm
dog	sparrow	cold
cat	sparrow	cold
dog	mouse	warm
dog	mouse	warm
dog	sparrow	warm
cat	mouse	warm
dog	mouse	warm
cat	sparrow	warm
dog	skink	warm
cat	mouse	warm
dog	sparrow	cold
dog	sparrow	cold
dog	skink	warm
cat	sparrow	cold
cat	sparrow	cold
dog	skink	cold
cat	mouse	cold
cat	sparrow	cold
dog	skink	warm
dog	skink	warm
dog	mouse	cold
dog	skink	cold
dog	sparrow	warm
cat	mouse	cold
cat	sparrow	warm
dog	skink	cold
cat	skink	warm
cat	sparrow	cold
cat	sparrow	cold
cat	sparrow	cold
dog	skink	warm
cat	sparrow	warm
dog	sparrow	cold
cat	sparrow	warm
dog	sparrow	warm
dog	mouse	cold
cat	skink	warm
dog	mouse	cold
dog	skink	cold
cat	sparrow	warm
cat	skink	warm
cat	skink	warm
dog	skink	warm
cat	sparrow	cold
dog	skink	cold
cat	skink	cold
dog	skink	cold
dog	skink	cold
cat	mouse	warm
dog	skink	cold
cat	mouse	cold
dog	mouse	warm
cat	sparrow	cold
dog	skink	cold
cat	sparrow	warm
dog	mouse	warm
dog	skink	cold
cat	sparrow	cold
cat	skink	warm
dog	skink	cold
cat	mouse	cold
cat	skink	warm
dog	sparrow	cold
dog	sparrow	cold
dog	skink	warm
dog	mouse	cold
dog	mouse	warm
dog	sparrow	warm
dog	sparrow	cold
cat	sparrow	cold
cat	mouse	warm
dog	mouse	cold
dog	sparrow	cold
cat	skink	warm
cat	mouse	cold
cat	sparrow	cold
dog	mouse	cold
dog	sparrow	warm
dog	mouse	cold
cat	skink	cold
dog	sparrow	cold
dog	mouse	warm
dog	sparrow	cold
dog	mouse	cold
dog	sparrow	cold
dog	sparrow	warm
dog	skink	cold
cat	skink	cold
dog	mouse	warm
cat	sparrow	warm
cat	sparrow	cold
cat	skink	warm
dog	skink	warm
dog	mouse	cold
cat	skink	warm
dog	sparrow	cold
dog	mouse	cold
dog	sparrow	warm
dog	sparrow	warm
dog	mouse	cold
dog	sparrow	cold
cat	skink	warm
cat	mouse	warm
dog	sparrow	warm
cat	sparrow	cold
dog	mouse	cold
dog	sparrow	cold
cat	sparrow	warm
dog	skink	warm
cat	skink	cold
dog	mouse	warm
dog	skink	cold
dog	skink	warm
cat	sparrow	warm
cat	mouse	warm
cat	skink	cold
dog	skink	warm
dog	skink	warm
dog	skink	cold
dog	sparrow	warm
dog	skink	warm
cat	mouse	cold
dog	sparrow	warm
dog	sparrow	warm
dog	skink	warm
dog	sparrow	warm
cat	skink	cold
dog	mouse	warm
dog	mouse	cold
dog	mouse	warm
cat	mouse	warm
dog	mouse	warm
cat	mouse	cold
cat	skink	cold
dog	sparrow	cold
cat	skink	warm
dog	sparrow	cold
dog	sparrow	warm
dog	skink	warm
dog	sparrow	warm
dog	mouse	warm
dog	sparrow	cold
cat	skink	warm
cat	sparrow	cold
cat	sparrow	cold
dog	skink	cold
cat	mouse	warm
cat	mouse	cold
dog	sparrow	cold
dog	sparrow	cold
dog	sparrow	warm
dog	mouse	cold
dog	skink	cold
dog	mouse	cold
dog	skink	cold
dog	mouse	warm
cat	skink	cold
cat	sparrow	warm
cat	skink	cold
dog	mouse	cold
dog	sparrow	warm
cat	skink	warm
cat	mouse	warm
dog	sparrow	cold
cat	skink	warm
dog	sparrow	warm
cat	sparrow	warm
cat	sparrow	warm
dog	mouse	warm
cat	skink	warm
cat	mouse	cold
dog	mouse	cold
cat	mouse	cold
dog	mouse	warm
dog	sparrow	warm
dog	skink	warm
dog	skink	warm
dog	sparrow	warm
cat	mouse	cold
dog	skink	cold
cat	sparrow	cold
cat	mouse	warm
dog	mouse	warm
cat	mouse	cold
dog	mouse	cold
cat	skink	warm
cat	mouse	cold
cat	sparrow	cold
dog	sparrow	cold
dog	mouse	warm
dog	sparrow	cold
cat	mouse	warm
dog	sparrow	cold
dog	mouse	cold
cat	skink	warm
dog	sparrow	warm
cat	sparrow	warm
cat	sparrow	warm
cat	mouse	warm
cat	sparrow	warm
dog	mouse	cold
cat	mouse	warm
cat	sparrow	cold
cat	skink	warm
dog	sparrow	warm
cat	skink	cold
cat	skink	warm
cat	sparrow	warm
dog	mouse	cold
cat	mouse	cold
dog	sparrow	cold
cat	skink	cold
dog	mouse	cold
dog	sparrow	cold
dog	mouse	warm
cat	sparrow	cold
cat	sparrow	cold
dog	mouse	cold
cat	sparrow	cold
dog	mouse	cold
cat	sparrow	warm
dog	skink	warm
dog	mouse	warm
cat	sparrow	warm
cat	skink	cold
cat	sparrow	warm
cat	sparrow	cold
dog	sparrow	cold
cat	skink	warm
cat	mouse	warm
cat	sparrow	cold
dog	skink	warm
cat	skink	warm
dog	mouse	cold
dog	mouse	warm
dog	mouse	cold
dog	sparrow	cold
dog	sparrow	warm
dog	mouse	warm
cat	mouse	warm
dog	mouse	cold
cat	mouse	warm
dog	skink	cold
dog	mouse	cold
dog	skink	warm
dog	mouse	cold
dog	mouse	cold
cat	skink	warm
cat	skink	cold
cat	mouse	cold
dog	sparrow	warm
dog	sparrow	warm
dog	sparrow	cold
dog	sparrow	cold
cat	sparrow	warm
dog	sparrow	warm
dog	mouse	cold
cat	mouse	warm
dog	mouse	warm
cat	sparrow	cold
cat	sparrow	cold
dog	mouse	warm
cat	mouse	warm
dog	mouse	warm
dog	mouse	cold
cat	mouse	cold
dog	skink	cold
cat	mouse	warm
dog	sparrow	warm
dog	sparrow	cold
dog	skink	warm
dog	mouse	warm
cat	skink	warm
dog	skink	warm
dog	mouse	cold
dog	sparrow	warm
cat	skink	cold
dog	sparrow	cold
cat	mouse	warm
dog	sparrow	warm
dog	mouse	warm
dog	sparrow	warm
dog	mouse	cold
dog	sparrow	cold
cat	sparrow	cold
cat	skink	cold
dog	sparrow	cold
cat	mouse	warm
cat	sparrow	cold
dog	sparrow	warm
dog	skink	warm
dog	mouse	cold
cat	mouse	warm
dog	mouse	warm
dog	mouse	cold
cat	mouse	warm
cat	skink	cold
dog	sparrow	cold
dog	sparrow	cold
dog	skink	warm
dog	skink	warm
dog	sparrow	warm
cat	sparrow	warm
cat	skink	cold
cat	sparrow	cold
dog	sparrow	cold
cat	sparrow	warm
dog	sparrow	warm
dog	mouse	cold
dog	skink	cold
cat	skink	cold
dog	skink	cold
dog	mouse	cold
dog	skink	warm
cat	sparrow	cold
cat	sparrow	cold
dog	mouse	cold
dog	mouse	warm
cat	sparrow	warm
cat	sparrow	warm
cat	sparrow	warm
cat	skink	warm
cat	sparrow	warm
cat	skink	cold
dog	mouse	cold
dog	sparrow	warm
dog	sparrow	warm
cat	mouse	warm
cat	mouse	warm
dog	mouse	cold
dog	mouse	warm
cat	mouse	cold
dog	sparrow	cold
cat	skink	cold
cat	sparrow	cold
cat	sparrow	cold
cat	sparrow	cold
dog	skink	cold
dog	mouse	cold
dog	skink	cold
cat	skink	warm
cat	mouse	cold
dog	mouse	warm
dog	sparrow	cold
dog	sparrow	warm
dog	skink	cold
dog	mouse	warm
dog	sparrow	warm
dog	sparrow	cold
dog	sparrow	warm
cat	sparrow	warm
cat	skink	cold
cat	sparrow	cold
cat	sparrow	cold
dog	skink	warm
dog	mouse	cold
dog	skink	cold
cat	skink	warm
dog	sparrow	cold
dog	sparrow	cold
dog	skink	cold
dog	skink	cold
cat	sparrow	warm
dog	skink	warm
dog	skink	warm
dog	mouse	cold
cat	mouse	warm
dog	skink	cold
dog	sparrow	cold
cat	mouse	warm
dog	sparrow	cold
cat	skink	warm
dog	sparrow	cold
cat	skink	warm
cat	sparrow	cold
cat	sparrow	warm
dog	mouse	cold
dog	mouse	warm
cat	sparrow	warm
cat	mouse	warm
dog	sparrow	warm
dog	mouse	warm
cat	mouse	cold
cat	sparrow	warm
cat	mouse	warm
dog	mouse	warm
dog	sparrow	cold
dog	mouse	cold
dog	mouse	warm
dog	mouse	cold
cat	mouse	warm
dog	mouse	warm
dog	sparrow	cold
cat	skink	cold
dog	mouse	cold
cat	skink	cold
dog	skink	cold
dog	mouse	warm
dog	skink	cold
dog	skink	warm
dog	mouse	warm
dog	sparrow	warm
dog	mouse	cold
cat	sparrow	warm
cat	skink	warm
dog	mouse	warm
dog	skink	warm
cat	skink	cold
dog	skink	warm
dog	mouse	warm
dog	skink	cold
dog	skink	cold
dog	skink	warm
cat	mouse	warm
cat	skink	cold
cat	sparrow	warm
dog	sparrow	warm
dog	skink	warm
cat	skink	cold
dog	mouse	warm
dog	sparrow	warm
cat	sparrow	cold
cat	skink	warm
dog	sparrow	warm
cat	mouse	cold
cat	skink	cold
dog	sparrow	cold
dog	sparrow	cold
dog	mouse	warm
dog	sparrow	cold
dog	mouse	warm
dog	skink	warm
dog	mouse	warm
cat	sparrow	cold
cat	skink	warm
dog	skink	cold
dog	skink	cold
dog	skink	warm
cat	mouse	cold
dog	skink	cold
dog	skink	cold
dog	mouse	cold
dog	skink	warm
dog	sparrow	warm
cat	sparrow	cold
cat	skink	warm
dog	mouse	warm
dog	mouse	cold
dog	mouse	cold
dog	skink	cold
dog	mouse	cold
dog	skink	cold
dog	mouse	cold
cat	sparrow	cold
dog	sparrow	cold
dog	mouse	warm
dog	skink	cold
dog	skink	cold
cat	mouse	cold
